Computed_Block_Hash,Previous_Block_Hash,Next_Block_Hash,Merkle_Root,Timestamp,Nonce,BlockReward,Transaction_Hash,Input_Addresses,Transaction_Hash_of_Inputs,Input_Amount,Output_Addresses,Output_Amount
000000006a88eef081b653d0bc7cbc7296c7bcf0bf60c0c92586fd4d6a0c9fae,0000000040d9e6d28ab52d7998b4cf33ab98e149a9ee0c07caea1b74bafd0f51,00000000046d4e2de13c9a31dec05fafcae393ae7de773242abd4db47e9e747f,de2b05d03485778ea6eb28c5e4b3b93d90d8ae64e2c5c5432ae24b0933f7acfe,01/25/2009 15:42:04,1756727316,50.000000,de2b05d03485778ea6eb28c5e4b3b93d90d8ae64e2c5c5432ae24b0933f7acfe,,0000000000000000000000000000000000000000000000000000000000000000 ,,1NBBaFqm9avr82G97QvnsZjJ1wN5Qyh5Zg ,50.000000 
00000000046d4e2de13c9a31dec05fafcae393ae7de773242abd4db47e9e747f,000000006a88eef081b653d0bc7cbc7296c7bcf0bf60c0c92586fd4d6a0c9fae,00000000c9ccddfd2f3e45036a8d04fcc3263a83b82b4a9fe134dc1d8c7ef295,70f2708d62f2d664d28fd840be6019df3163239defdd0c7622e050bc75118965,01/25/2009 15:42:50,1752590631,50.000000,70f2708d62f2d664d28fd840be6019df3163239defdd0c7622e050bc75118965,,0000000000000000000000000000000000000000000000000000000000000000 ,,12tvbGeADbrQHpvwXc61DKKYCiyDqi7EW8 ,50.000000 
00000000c9ccddfd2f3e45036a8d04fcc3263a83b82b4a9fe134dc1d8c7ef295,00000000046d4e2de13c9a31dec05fafcae393ae7de773242abd4db47e9e747f,00000000d238b9599d98265f4313d8d57662bb8f8c51a2c6dfe54fcb847194ea,675988d27196bcef77c383ba526905fa9dc7bdaf3b0c159dd48095de1be1b94c,01/25/2009 16:03:29,3503785005,50.000000,675988d27196bcef77c383ba526905fa9dc7bdaf3b0c159dd48095de1be1b94c,,0000000000000000000000000000000000000000000000000000000000000000 ,,1Lp1ShiMm6mBacgjqnrx3t3W8NMnwQmUXF ,50.000000 
00000000d238b9599d98265f4313d8d57662bb8f8c51a2c6dfe54fcb847194ea,00000000c9ccddfd2f3e45036a8d04fcc3263a83b82b4a9fe134dc1d8c7ef295,000000006463e5ccebec857a449bff36431f4d02c56c38aadce6ec1a37c75014,3f918f708e00f8c5deefdcd07502691f89d7f48cdd1583a2a76cb22f3edca9bf,01/25/2009 16:08:37,3625259574,50.000000,3f918f708e00f8c5deefdcd07502691f89d7f48cdd1583a2a76cb22f3edca9bf,,0000000000000000000000000000000000000000000000000000000000000000 ,,1GqP9wWxzXr2ATgnBVFjaP44LF4D5qq936 ,50.000000 
000000006463e5ccebec857a449bff36431f4d02c56c38aadce6ec1a37c75014,00000000d238b9599d98265f4313d8d57662bb8f8c51a2c6dfe54fcb847194ea,00000000cd9ad78b3ad79a03418becb9599d82e676b0baaf161eba3c32aeafae,775a72f75161cfa0d4902903d9ce4eb4f34387d4fa7368b413d2f0e9a6cd7ac6,01/25/2009 16:18:11,2063291161,50.000000,775a72f75161cfa0d4902903d9ce4eb4f34387d4fa7368b413d2f0e9a6cd7ac6,,0000000000000000000000000000000000000000000000000000000000000000 ,,1F2jPmcmptkUsEGg8uBZ2g18AtqmXSqdfw ,50.000000 
00000000cd9ad78b3ad79a03418becb9599d82e676b0baaf161eba3c32aeafae,000000006463e5ccebec857a449bff36431f4d02c56c38aadce6ec1a37c75014,00000000b86e846ca528fa3c102ee17eaa7a2b8089b22699c94f220081ecccd9,0c0b4d061969b9ae5f28899d0d9da7771612d3124b31fc99dd519bb6f15e8090,01/25/2009 16:25:00,1174095381,50.000000,0c0b4d061969b9ae5f28899d0d9da7771612d3124b31fc99dd519bb6f15e8090,,0000000000000000000000000000000000000000000000000000000000000000 ,,1MQ13bqizx1SCCjppEHAdFvd476zScm7Bz ,50.000000 
00000000b86e846ca528fa3c102ee17eaa7a2b8089b22699c94f220081ecccd9,00000000cd9ad78b3ad79a03418becb9599d82e676b0baaf161eba3c32aeafae,0000000001c93a0932609054f9b74426ce2b83a21609f8bad01b0f0bfb28addc,4cc5002fa21d400b6aade081144b95ff3e316d10f460b02639d7af1368f3320c,01/25/2009 16:41:44,618223106,50.000000,4cc5002fa21d400b6aade081144b95ff3e316d10f460b02639d7af1368f3320c,,0000000000000000000000000000000000000000000000000000000000000000 ,,1Hspx51SwLb5j3jUqeyWwnFYWBqhM3odHU ,50.000000 
0000000001c93a0932609054f9b74426ce2b83a21609f8bad01b0f0bfb28addc,00000000b86e846ca528fa3c102ee17eaa7a2b8089b22699c94f220081ecccd9,00000000bd5b5e202116da4da9c385e74f74e5a12a06307d1da7c64660e195b4,a03f68569b73c1bbbb3f85659c3d163b35ec72478abc45407ad207cc423883de,01/25/2009 16:43:18,595110680,50.000000,a03f68569b73c1bbbb3f85659c3d163b35ec72478abc45407ad207cc423883de,,0000000000000000000000000000000000000000000000000000000000000000 ,,1FG7wy8GLBfb6VMmUrCAVz2bZoj3ZEW4EK ,50.000000 
00000000bd5b5e202116da4da9c385e74f74e5a12a06307d1da7c64660e195b4,0000000001c93a0932609054f9b74426ce2b83a21609f8bad01b0f0bfb28addc,00000000ffd7ae8a525d0083ee8384e13a6cbe1f1218f9ae26a637fbc2093a05,c646804b258342ab3ed20b8e9fee5e642c2794e77cbeb68c6f2741a1db52c7ba,01/25/2009 16:54:23,445433653,50.000000,c646804b258342ab3ed20b8e9fee5e642c2794e77cbeb68c6f2741a1db52c7ba,,0000000000000000000000000000000000000000000000000000000000000000 ,,1CeXKKB7n44bboTneCRBDNhUePXY29tZ1q ,50.000000 
00000000ffd7ae8a525d0083ee8384e13a6cbe1f1218f9ae26a637fbc2093a05,00000000bd5b5e202116da4da9c385e74f74e5a12a06307d1da7c64660e195b4,00000000d648126dda6e110d9b04870bcdb4063eff02538d84a1212208feabf3,f5768fda81b2cbab87f0341723d6b6c7b936e75ce3548577f5ceabbaf4194684,01/25/2009 17:03:52,3868382980,50.000000,f5768fda81b2cbab87f0341723d6b6c7b936e75ce3548577f5ceabbaf4194684,,0000000000000000000000000000000000000000000000000000000000000000 ,,125rvNCGC7uhQHj1SCBfwo9TVtvkoaHm7i ,50.000000 
00000000d648126dda6e110d9b04870bcdb4063eff02538d84a1212208feabf3,00000000ffd7ae8a525d0083ee8384e13a6cbe1f1218f9ae26a637fbc2093a05,0000000047d5a0870320bfe1a147312bc5a042d8e3e25dcf1bb72b5a7f23ac65,abb23470042419e92b1feaa1657464cb456eea842030e8689b5e86963c9f0d70,01/25/2009 17:07:48,3171905074,50.000000,abb23470042419e92b1feaa1657464cb456eea842030e8689b5e86963c9f0d70,,0000000000000000000000000000000000000000000000000000000000000000 ,,1GBXngkC6KSboF5zZQxdWdG2QRjLhR8nV6 ,50.000000 
0000000047d5a0870320bfe1a147312bc5a042d8e3e25dcf1bb72b5a7f23ac65,00000000d648126dda6e110d9b04870bcdb4063eff02538d84a1212208feabf3,00000000e04fb2b1746560fe55b178949972bcccd10d40474138d00f67592115,a17fbf35bc78baf4d2a73ee2e8e1ab21167c6eb8c7686ca9446fadc67406aeb9,01/25/2009 17:19:33,1108214063,50.000000,a17fbf35bc78baf4d2a73ee2e8e1ab21167c6eb8c7686ca9446fadc67406aeb9,,0000000000000000000000000000000000000000000000000000000000000000 ,,1FMFz92Lprb49E3GnPLcQRvU3yUapx76fW ,50.000000 
00000000e04fb2b1746560fe55b178949972bcccd10d40474138d00f67592115,0000000047d5a0870320bfe1a147312bc5a042d8e3e25dcf1bb72b5a7f23ac65,00000000089b370bfcd7018fbfc74f0269d4c658c7be88fefbf678202b1ed0ad,af97d8e062771e05e90e465a9737e56a20fcb2604de6b6dd0f646f0bdc693bef,01/25/2009 17:33:16,1761024293,50.000000,af97d8e062771e05e90e465a9737e56a20fcb2604de6b6dd0f646f0bdc693bef,,0000000000000000000000000000000000000000000000000000000000000000 ,,14KTLEerB7uWPYZ5KcsxrJZwhFUDVwX9ZN ,50.000000 
00000000089b370bfcd7018fbfc74f0269d4c658c7be88fefbf678202b1ed0ad,00000000e04fb2b1746560fe55b178949972bcccd10d40474138d00f67592115,00000000fe2351603896e6e3949ec34bd4abd89af022c8f312b943b542d1f717,be949098ebbd3d73f7457479767706793f04f3c52960d77ba5ed3eb767531a6b,01/25/2009 17:43:01,864398114,50.000000,be949098ebbd3d73f7457479767706793f04f3c52960d77ba5ed3eb767531a6b,,0000000000000000000000000000000000000000000000000000000000000000 ,,13Fq1CSzqPGKg1gWGzxAs4gpqXkHmRq4Z9 ,50.000000 
00000000fe2351603896e6e3949ec34bd4abd89af022c8f312b943b542d1f717,00000000089b370bfcd7018fbfc74f0269d4c658c7be88fefbf678202b1ed0ad,00000000d4a3016ed192bb889ac5e9b785751dadcc96272d23f839bb4916841e,3520af279d508fd85982bd27341329d0d708e4004cb0d8ed74ed163091d5f435,01/25/2009 17:50:18,1164058156,50.000000,3520af279d508fd85982bd27341329d0d708e4004cb0d8ed74ed163091d5f435,,0000000000000000000000000000000000000000000000000000000000000000 ,,1HCu6T3vGKDbj8mADKzkdPJ65895eZHuRM ,50.000000 
